iter	Passed	Remaining
467	720	818
468	721	816
469	722	814
470	723	812
471	724	810
472	725	808
473	726	805
474	727	803
475	728	801
476	729	799
477	729	797
478	731	795
479	732	793
480	734	792
481	735	790
482	736	788
483	737	786
484	738	784
485	739	782
486	740	779
487	741	777
488	742	775
489	743	773
490	744	772
491	745	770
492	747	768
493	748	766
494	749	765
495	750	763
496	751	761
497	753	759
498	754	757
499	754	754
500	755	752
501	756	750
502	758	749
503	759	747
504	761	746
505	763	744
506	764	743
507	765	741
508	767	740
509	768	738
510	769	736
511	771	735
512	773	733
513	774	732
514	776	730
515	779	730
516	780	729
517	781	727
518	782	725
519	783	723
520	784	721
521	785	719
522	786	717
523	787	715
524	788	713
525	789	711
526	791	710
527	793	709
528	794	707
529	795	705
530	796	703
531	797	701
532	798	699
533	799	697
534	800	695
535	801	693
536	802	691
537	803	690
538	804	688
539	806	687
540	807	685
541	808	683
542	809	681
543	810	679
544	811	677
545	812	675
546	813	674
547	814	672
548	815	670
549	817	668
550	818	666
551	820	665
552	821	664
553	823	662
554	824	660
555	825	659
556	826	657
557	827	655
558	828	653
559	829	651
560	831	650
561	832	649
562	834	648
563	836	646
564	837	644
565	838	642
566	839	640
567	840	639
568	841	637
569	842	635
570	843	633
571	844	631
572	845	630
573	846	628
574	847	626
575	849	625
576	850	623
577	851	621
578	852	620
579	853	618
580	854	616
581	855	614
582	856	612
583	858	611
584	860	610
585	861	608
586	863	607
587	868	608
588	871	607
589	872	606
590	874	605
591	876	603
592	879	603
593	881	602
594	883	601
595	884	599
596	887	598
597	888	597
598	889	595
599	891	594
600	895	594
601	896	592
602	898	591
603	901	590
604	902	589
605	904	588
606	905	586
607	910	587
608	912	585
609	913	584
610	915	582
611	918	582
612	919	580
613	921	579
614	924	578
615	925	577
616	926	575
617	927	573
618	929	571
619	931	570
620	932	569
621	933	567
622	934	565
623	935	563
624	937	562
625	938	560
626	940	559
627	941	557
628	942	555
629	943	554
630	944	552
631	945	550
632	946	548
633	947	546
634	948	545
635	949	543
636	950	541
637	951	539
638	953	538
639	954	536
640	956	535
641	957	533
642	959	532
643	960	530
644	961	529
645	962	527
646	963	525
647	964	523
648	967	523
649	968	521
650	969	519
651	970	518
652	971	516
653	972	514
654	973	512
655	974	511
656	975	509
657	976	507
658	977	505
659	978	504
660	980	502
661	982	501
662	983	500
663	984	498
664	985	496
665	986	494
666	987	493
667	988	491
668	989	489
669	991	488
670	992	486
671	992	484
672	994	483
673	995	481
674	997	480
675	998	478
676	999	476
677	1000	475
678	1001	473
679	1002	471
680	1003	470
681	1004	468
682	1005	466
683	1006	465
684	1007	463
685	1009	461
686	1010	460
687	1011	458
688	1013	457
689	1014	455
690	1015	453
691	1016	452
692	1017	450
693	1018	448
694	1019	447
695	1020	445
696	1021	443
697	1022	442
698	1023	440
699	1024	439
700	1026	437
701	1027	436
702	1028	434
703	1029	432
704	1030	431
705	1031	429
706	1032	427
707	1033	426
708	1034	424
709	1036	423
710	1038	422
711	1040	420
712	1041	419
713	1043	417
714	1044	416
715	1045	414
716	1047	413
717	1048	411
718	1048	409
719	1050	408
720	1050	406
721	1051	405
722	1055	404
723	1056	402
724	1057	401
725	1058	399
726	1059	397
727	1060	396
728	1061	394
729	1062	393
730	1063	391
731	1064	389
732	1065	388
733	1066	386
734	1068	385
735	1069	383
736	1070	382
737	1071	380
738	1072	378
739	1073	377
740	1074	375
741	1075	374
742	1076	372
743	1078	370
744	1080	369
745	1081	368
746	1083	366
747	1084	365
748	1085	363
749	1086	362
750	1087	360
751	1088	358
752	1089	357
753	1090	355
754	1091	354
755	1092	352
756	1093	351
757	1095	349
758	1096	348
759	1097	346
760	1098	345
761	1099	343
762	1100	341
763	1101	340
764	1102	338
765	1103	337
766	1104	335
767	1105	334
768	1106	332
769	1107	330
770	1109	329
771	1110	328
772	1112	326
773	1113	325
774	1114	323
775	1115	321
776	1116	320
777	1117	318
778	1118	317
779	1119	315
780	1120	314
781	1121	312
782	1123	311
783	1124	309
784	1125	308
785	1126	306
786	1127	305
787	1128	303
788	1129	302
789	1130	300
790	1131	299
791	1133	297
792	1134	296
793	1135	294
794	1136	292
795	1137	291
796	1139	290
797	1140	288
798	1141	287
799	1143	285
800	1144	284
801	1145	282
802	1146	281
803	1147	279
804	1148	278
805	1149	276
806	1150	275
807	1151	273
808	1152	272
809	1154	270
810	1155	269
811	1156	267
812	1157	266
813	1158	264
814	1159	263
815	1160	261
816	1161	260
